file_name,line_number,exception,data
files/vial_audit/AuditTrail0_20180206_154136_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0b\x0c'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180201_073205_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0x81 in position 1023: invalid start byte,
files/vial_audit/AuditTrail0_20180131_142543_SPAMI-PC.1.csv,2,time data '1/31/2018 3:25:43 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '1/31/2018 3:25:43 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V18.LKD - 0' Build 329, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', '1hkl6v')])"
files/vial_audit/AuditTrail0_20180131_142543_SPAMI-PC.1.csv,3,time data '1/31/2018 3:25:43 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '55761'), ('time_stamp', '1/31/2018 3:25:43 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'M1D2g3')])"
files/vial_audit/AuditTrail0_20180131_142543_SPAMI-PC.1.csv,4,time data '1/31/2018 3:25:43 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '1/31/2018 3:25:43 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'Hd2yOw')])"
files/vial_audit/AuditTrail0_20180205_142001_SPAMI-PC.csv,ALL,line contains NUL,
files/vial_audit/AuditTrail0_20180131_140545_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180206_154323_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0f\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180202_095934_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0b\x0b'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20171224_121234_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0x82 in position 1128: invalid start byte,
